title	description	Short.Name	Pubmed.ID	Data.URL	Taxonomy.ID	Tissue.NCIT	Disease.MESH.ID
Impaired local intrinsic immunity to SARS-CoV-2 infection in severe COVID-19	We performed scRNA-seq on nasopharyngeal swabs from 58 healthy and COVID-19 participants.	Nasal_Swabs	33619488	https://covid19.cog.sanger.ac.uk/submissions/release2/20210217_NasalSwab_Broad_BCH_UMMC_to_CZI.h5ad	9606	C27958	D000086382
A single-cell atlas of the peripheral immune response in patients with severe COVID-19	 To elucidate pathways in peripheral immune cells that might lead to immunopathology or protective immunity in severe COVID-19, we applied single-cell RNA sequencing (scRNA-seq) to profile peripheral blood mononuclear cells (PBMCs) from seven patients hospitalized for COVID-19, four of whom had acute respiratory distress syndrome, and six healthy controls. 	PBMC_COVID19	32514174	https://hosted-matrices-prod.s3-us-west-2.amazonaws.com/Single_cell_atlas_of_peripheral_immune_response_to_SARS_CoV_2_infection-25/Single_cell_atlas_of_peripheral_immune_response_to_SARS_CoV_2_infection.h5ad	9606	C12434	D000086382, D012128
A cellular census of human lungs identifies novel cell states in health and in asthma	Here, we use single-cell transcriptomics to chart the cellular landscape of upper and lower airways and lung parenchyma in healthy lungs, and lower airways in asthmatic lungs.	Lung_asthma	31209336	https://covid19.cog.sanger.ac.uk/vieira19_Alveoli_and_parenchyma_anonymised.processed.h5ad 	9606	C12468, C33839	D001249
Transcriptional Programming of Normal and Inflamed Human Epidermis at Single-Cell Resolution	Here we report single-cell RNA sequencing profiles of 92,889 human epidermal cells from 9 normal and 3 inflamed skin samples. Transcriptomics-derived keratinocyte subpopulations reflect classic epidermal strata but also sharply compartmentalize epithelial functions such as cell-cell communication, inflammation, and WNT pathway modulation.	Skin	30355494	https://covid19.cog.sanger.ac.uk/cheng18.processed.h5ad	9606	C12470	D003872
The adult human testis transcriptional cell atlas	Here, we performed single-cell RNA sequencing of ~6500 testicular cells from young adults. We found five niche/somatic cell types (Leydig, myoid, Sertoli, endothelial, macrophage), and observed germline-niche interactions and key human-mouse differences.	Testis_atlas	30315278	https://covid19.cog.sanger.ac.uk/guo18_donor.processed.h5ad	9606	C12412	Healthy
Human Cornea Atlas	Single cell RNA-seq from human Corneas	Cornea_atlas	Null	https://covid19.cog.sanger.ac.uk/lako_cornea.processed.h5ad	9606	C12342	Null
Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations	We provide the transcriptional profiles of 8444 parenchymal and non-parenchymal cells obtained from the fractionation of fresh hepatic tissue from five human livers.	liver_atlas	30348985	https://covid19.cog.sanger.ac.uk/macparland18.processed.h5ad	9606	C12392	Healthy
Integrated Single-Cell Atlases Reveal an Oral SARS-CoV-2 Infection and Transmission Axis	Salivary Gland single cell RNA-seq	Salivary_gland_atlas	33140061	https://covid19.cog.sanger.ac.uk/warner20_salivary_gland.processed.h5ad	9606	C12426	Healthy
Spatiotemporal immune zonation of the human kidney	We used single-cell RNA sequencing to resolve the spatiotemporal immune topology of the human kidney. We reveal anatomically defined expression patterns of immune genes within the epithelial compartment, with antimicrobial peptide transcripts evident in pelvic epithelium in the mature, but not fetal, kidney	Kidney_immune_atlas	31604275	https://covid19.cog.sanger.ac.uk/stewart19_adult.processed.h5ad	9606	C12415	Healthy
A cell atlas of human thymic development defines T cell repertoire formation	We used single-cell RNA sequencing to create a cell census of the human thymus across the life span and to reconstruct T cell differentiation trajectories and T cell receptor (TCR) recombination kinetics.	Thymus_fetal	32079746	https://covid19.cog.sanger.ac.uk/park20.processed.h5ad	9606	C12433	Healthy
Cells of the adult human heart	Here, using state-of-the-art analyses of large-scale single-cell and single-nucleus transcriptomes, we characterize six anatomical adult heart regions. This is the immune cell subset.	healthy_heart_atlas	32971526	https://cellgeni.cog.sanger.ac.uk/heartcellatlas/data/hca_heart_immune_download.h5ad	9606	C12871, C12727	Healthy
